TAG	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG0150	fig|1121259.3.peg.2054	-	fig|1387555.3.peg.1240	fig|1387557.3.peg.1849	fig|1387569.3.peg.2150	fig|31899.10.peg.2107|SAMN05216182_1888	-	-	fig|632292.3.peg.1233|Calhy_1151	fig|632335.8.peg.1746|Calkr_1615	fig|632348.3.peg.1193|Calkro_1125	fig|632516.3.peg.1576|CallaDRAFT_1516	-
TAG0151	fig|1121259.3.peg.2059	-	-	-	-	-	-	-	-	-	-	-	-
TAG0152	fig|1121259.3.peg.206	fig|1214564.3.peg.2417	fig|1387555.3.peg.1551	fig|1387557.3.peg.1607	fig|1387569.3.peg.1136	fig|31899.10.peg.1860|SAMN05216182_1649	"fig|351627.8.peg.2107|Csac_1927,fig|351627.8.peg.551|Csac_0478"	-	fig|632292.3.peg.1445|Calhy_1359	fig|632335.8.peg.1487|Calkr_1365	fig|632348.3.peg.1414|Calkro_1334	fig|632516.3.peg.154|CallaDRAFT_0153	fig|632518.3.peg.1244|Calow_1159
TAG0153	fig|1121259.3.peg.2060	-	-	-	-	-	-	-	-	-	-	-	-
TAG0154	fig|1121259.3.peg.2061	-	fig|1387555.3.peg.429	fig|1387557.3.peg.340	-	-	fig|351627.8.peg.2746|Csac_2547	fig|608506.3.peg.81|COB47_0077	fig|632292.3.peg.67|Calhy_0061	-	fig|632348.3.peg.77|Calkro_0073	-	-
TAG0155	fig|1121259.3.peg.2064	-	-	-	-	-	-	fig|608506.3.peg.84	-	-	-	-	-
TAG0156	fig|1121259.3.peg.2069	-	-	-	-	-	-	-	-	-	-	-	-
TAG0157	fig|1121259.3.peg.2070	-	-	-	-	-	-	-	-	-	-	-	-
TAG0158	fig|1121259.3.peg.2074	-	-	-	-	-	-	-	fig|632292.3.peg.79|Calhy_0072	-	fig|632348.3.peg.92|Calkro_0089	-	-
TAG0159	fig|1121259.3.peg.2080	-	-	-	-	-	-	-	fig|632292.3.peg.87|Calhy_0080	-	-	-	-
TAG0160	fig|1121259.3.peg.2082	-	-	-	-	-	-	-	fig|632292.3.peg.89|Calhy_0082	-	fig|632348.3.peg.103|Calkro_0099	-	-
TAG0161	fig|1121259.3.peg.2083	-	-	-	-	-	-	-	fig|632292.3.peg.90|Calhy_0083	-	fig|632348.3.peg.104|Calkro_0100	-	-
TAG0162	fig|1121259.3.peg.2086	-	-	-	-	-	-	-	-	-	-	-	-
TAG0163	fig|1121259.3.peg.2087	-	-	-	-	-	-	-	-	-	-	-	-
TAG0164	fig|1121259.3.peg.2093	fig|1214564.3.peg.1523	-	fig|1387557.3.peg.353	-	-	fig|351627.8.peg.2713|Csac_2516	-	fig|632292.3.peg.98|Calhy_0091	-	fig|632348.3.peg.112|Calkro_0108	-	-
TAG0165	fig|1121259.3.peg.2096	-	-	-	-	-	-	-	-	-	-	-	-
TAG0166	fig|1121259.3.peg.2097	-	-	-	-	-	-	-	-	-	-	-	-
TAG0167	fig|1121259.3.peg.2098	-	-	-	-	-	-	-	-	-	-	-	-
TAG0168	fig|1121259.3.peg.2099	-	-	-	-	-	-	-	-	-	-	-	-
TAG0169	fig|1121259.3.peg.2101	-	-	-	-	-	-	-	fig|632292.3.peg.724|Calhy_0669	-	-	-	-
TAG0170	fig|1121259.3.peg.2117	-	-	-	-	-	-	-	-	-	-	-	-
TAG0171	"fig|1121259.3.peg.2111,fig|1121259.3.peg.2119"	fig|1214564.3.peg.2019	-	fig|1387557.3.peg.363	fig|1387569.3.peg.375	fig|31899.10.peg.491|SAMN05216182_0361	fig|351627.8.peg.2702|Csac_2505	"fig|608506.3.peg.105|COB47_0097,fig|608506.3.peg.114|COB47_0105"	"fig|632292.3.peg.114|Calhy_0107,fig|632292.3.peg.124|Calhy_0115"	fig|632335.8.peg.2649|Calkr_2434	fig|632348.3.peg.134|Calkro_0129	-	fig|632518.3.peg.59|Calow_0056
TAG0172	fig|1121259.3.peg.2127	fig|1214564.3.peg.1483	fig|1387555.3.peg.49	fig|1387557.3.peg.2828	fig|1387569.3.peg.574	fig|31899.10.peg.2977|SAMN05216182_2719	fig|351627.8.peg.400|Csac_0345	fig|608506.3.peg.2325|COB47_2160	fig|632292.3.peg.132|Calhy_0123	fig|632335.8.peg.628|Calkr_0561	fig|632348.3.peg.144|Calkro_0137	"fig|632516.3.peg.1898|CallaDRAFT_1830,fig|632516.3.peg.2762|CallaDRAFT_2682"	fig|632518.3.peg.2282|Calow_2129
TAG0173	fig|1121259.3.peg.2134	-	-	-	-	-	-	-	-	-	-	-	-
TAG0174	fig|1121259.3.peg.2148	-	fig|1387555.3.peg.651	fig|1387557.3.peg.2697	-	-	-	-	-	fig|632335.8.peg.2659|Calkr_2443	-	-	-
